radius,pressure,mass,density,energy
1.33056000e+03,5.11507958e+33,5.23526912e+27,4.96396692e+17,5.88823952e+15
1.34442000e+03,5.11294063e+33,5.40003723e+27,4.96321199e+17,5.88667250e+15
1.35828000e+03,5.11078004e+33,5.56820940e+27,4.96244923e+17,5.88508940e+15
1.37214000e+03,5.10859785e+33,5.73981955e+27,4.96167864e+17,5.88349022e+15
1.38600000e+03,5.10639407e+33,5.91490157e+27,4.96090020e+17,5.88187497e+15
1.39986000e+03,5.10416871e+33,6.09348929e+27,4.96011393e+17,5.88024364e+15
1.41372000e+03,5.10192180e+33,6.27561651e+27,4.95931982e+17,5.87859625e+15
1.42758000e+03,5.09965334e+33,6.46131700e+27,4.95851787e+17,5.87693279e+15
1.44144000e+03,5.09736336e+33,6.65062450e+27,4.95770808e+17,5.87525328e+15
1.45530000e+03,5.09505187e+33,6.84357268e+27,4.95689045e+17,5.87355772e+15
1.46916000e+03,5.09271890e+33,7.04019521e+27,4.95606498e+17,5.87184611e+15
1.48302000e+03,5.09036446e+33,7.24052570e+27,4.95523167e+17,5.87011846e+15
1.49688000e+03,5.08798856e+33,7.44459771e+27,4.95439051e+17,5.86837478e+15
1.51074000e+03,5.08559123e+33,7.65244480e+27,4.95354152e+17,5.86661507e+15
1.52460000e+03,5.08317249e+33,7.86410044e+27,4.95268468e+17,5.86483933e+15
1.53846000e+03,5.08073234e+33,8.07959810e+27,4.95182001e+17,5.86304757e+15
1.55232000e+03,5.07827083e+33,8.29897119e+27,4.95094749e+17,5.86123980e+15
1.56618000e+03,5.07578795e+33,8.52225308e+27,4.95006712e+17,5.85941602e+15
1.58004000e+03,5.07328373e+33,8.74947711e+27,4.94917891e+17,5.85757623e+15
1.59390000e+03,5.07075819e+33,8.98067656e+27,4.94828286e+17,5.85572045e+15
1.60776000e+03,5.06821136e+33,9.21588468e+27,4.94737896e+17,5.85384867e+15
1.62162000e+03,5.06564324e+33,9.45513467e+27,4.94646722e+17,5.85196091e+15
1.63548000e+03,5.06305386e+33,9.69845970e+27,4.94554763e+17,5.85005717e+15
1.64934000e+03,5.06044324e+33,9.94589289e+27,4.94462019e+17,5.84813745e+15
1.66320000e+03,5.05781139e+33,1.01974673e+28,4.94368491e+17,5.84620176e+15
1.67706000e+03,5.05515835e+33,1.04532160e+28,4.94274177e+17,5.84425011e+15
1.69092000e+03,5.05248413e+33,1.07131719e+28,4.94179079e+17,5.84228250e+15
1.70478000e+03,5.04978874e+33,1.09773681e+28,4.94083196e+17,5.84029894e+15
1.71864000e+03,5.04707222e+33,1.12458373e+28,4.93986529e+17,5.83829943e+15
1.73250000e+03,5.04433458e+33,1.15186124e+28,4.93889076e+17,5.83628398e+15
1.74636000e+03,5.04157584e+33,1.17957263e+28,4.93790838e+17,5.83425260e+15
1.76022000e+03,5.03879603e+33,1.20772118e+28,4.93691815e+17,5.83220529e+15
1.77408000e+03,5.03599516e+33,1.23631014e+28,4.93592007e+17,5.83014206e+15
