rho0,mass,radius
3.340000e+19,3.605133e+30,9.287870e+03
3.350000e+19,3.605169e+30,9.287700e+03
3.360000e+19,3.605204e+30,9.287530e+03
3.370000e+19,3.605237e+30,9.287360e+03
3.380000e+19,3.605270e+30,9.287190e+03
3.390000e+19,3.605301e+30,9.287010e+03
3.400000e+19,3.605330e+30,9.286840e+03
3.410000e+19,3.605359e+30,9.286670e+03
3.420000e+19,3.605387e+30,9.286500e+03
3.430000e+19,3.605413e+30,9.286330e+03
3.440000e+19,3.605438e+30,9.286150e+03
3.450000e+19,3.605462e+30,9.285980e+03
3.460000e+19,3.605485e+30,9.285810e+03
3.470000e+19,3.605507e+30,9.285640e+03
3.480000e+19,3.605528e+30,9.285460e+03
3.490000e+19,3.605548e+30,9.285290e+03
3.500000e+19,3.605567e+30,9.285120e+03
3.510000e+19,3.605585e+30,9.284950e+03
3.520000e+19,3.605602e+30,9.284780e+03
3.530000e+19,3.605618e+30,9.284600e+03
3.540000e+19,3.605633e+30,9.284430e+03
3.550000e+19,3.605647e+30,9.284260e+03
3.560000e+19,3.605660e+30,9.284090e+03
3.570000e+19,3.605673e+30,9.283920e+03
3.580000e+19,3.605684e+30,9.283740e+03
3.590000e+19,3.605694e+30,9.283570e+03
3.600000e+19,3.605704e+30,9.283400e+03
3.610000e+19,3.605713e+30,9.283230e+03
3.620000e+19,3.605721e+30,9.283060e+03
3.630000e+19,3.605728e+30,9.282890e+03
3.640000e+19,3.605734e+30,9.282720e+03
3.650000e+19,3.605740e+30,9.282550e+03
3.660000e+19,3.605744e+30,9.282380e+03
3.670000e+19,3.605748e+30,9.282210e+03
3.680000e+19,3.605751e+30,9.282040e+03
3.690000e+19,3.605754e+30,9.281870e+03
3.700000e+19,3.605755e+30,9.281700e+03
3.710000e+19,3.605756e+30,9.281540e+03
3.720000e+19,3.605757e+30,9.281370e+03
3.730000e+19,3.605756e+30,9.281200e+03
3.740000e+19,3.605755e+30,9.281030e+03
3.750000e+19,3.605753e+30,9.280860e+03
3.760000e+19,3.605751e+30,9.280700e+03
3.770000e+19,3.605748e+30,9.280530e+03
3.780000e+19,3.605744e+30,9.280360e+03
3.790000e+19,3.605740e+30,9.280200e+03
3.800000e+19,3.605734e+30,9.280030e+03
3.810000e+19,3.605729e+30,9.279870e+03
3.820000e+19,3.605723e+30,9.279700e+03
3.830000e+19,3.605716e+30,9.279540e+03
3.840000e+19,3.605708e+30,9.279380e+03
3.850000e+19,3.605700e+30,9.279210e+03
3.860000e+19,3.605692e+30,9.279050e+03
3.870000e+19,3.605683e+30,9.278890e+03
3.880000e+19,3.605673e+30,9.278720e+03
3.890000e+19,3.605663e+30,9.278560e+03
3.900000e+19,3.605652e+30,9.278400e+03
3.910000e+19,3.605641e+30,9.278240e+03
3.920000e+19,3.605629e+30,9.278080e+03
3.930000e+19,3.605617e+30,9.277920e+03
3.940000e+19,3.605604e+30,9.277760e+03
3.950000e+19,3.605591e+30,9.277600e+03
3.960000e+19,3.605577e+30,9.277440e+03
3.970000e+19,3.605563e+30,9.277280e+03
3.980000e+19,3.605549e+30,9.277130e+03
3.990000e+19,3.605534e+30,9.276970e+03
